vernacularName,scientificName
Eurasian Hoopoe,Upupa epops
Broad-bodied Chaser,Libellula depressa
Sand Martin,Riparia riparia
Green Frog spec.,Pelophylax spec.
Clouded Yellow,Colias crocea
Swallowtail,Papilio machaon
Common Nettle,Urtica dioica
Green-eyed Hawker,Aeshna isoceles
Mediterranean Gull,Ichthyaetus melanocephalus
Harbour Seal,Phoca vitulina
Purple Heron,Ardea purpurea
Yellow-legged Gull,Larus michahellis
Sandwich Tern,Thalasseus sandvicensis
Common Sandpiper,Actitis hypoleucos
Common Toad,Bufo bufo
Hawfinch,Coccothraustes coccothraustes
Bearded Reedling,Panurus biarmicus
Meadow grasshopper,Pseudochorthippus parallelus
Western Willow Spreadwing,Chalcolestes viridis
Purple Sandpiper,Calidris maritima
Moustached Darter,Sympetrum vulgatum
Hooded Crow,Corvus cornix
Cow Parsley,Anthriscus sylvestris
Western Yellow Wagtail,Motacilla flava
Spotted Flycatcher,Muscicapa striata
European Pied Flycatcher,Ficedula hypoleuca
Eurasian Beaver,Castor fiber
Downy Emerald,Cordulia aenea
Large Redeye,Erythromma najas
Common Tern,Sterna hirundo
Yarrow,Achillea millefolium
Blue Featherleg,Platycnemis pennipes
Eurasian Bittern,Botaurus stellaris
Creeping Thistle,Cirsium arvense
Ground-ivy,Glechoma hederacea
Common Lizard,Zootoca vivipara
Glossy Ibis,Plegadis falcinellus
Hairy Hawker,Brachytron pratense
Brown Argus,Aricia agestis
Corn Bunting,Emberiza calandra
Middle Spotted Woodpecker,Dendrocoptes medius
Ruff,Calidris pugnax
Crested Lark,Galerida cristata
Red Kite,Milvus milvus
Redwing,Turdus iliacus
Red-throated Diver,Gavia stellata
Whooper Swan,Cygnus cygnus
Sand Lizard,Lacerta agilis
Ribwort Plantain,Plantago lanceolata
Domesticated Goose,Anser anser forma domestica
Long-eared Owl,Asio otus
Yellow-browed Warbler,Phylloscopus inornatus
Ringlet,Aphantopus hyperantus
Field Grasshopper,Chorthippus brunneus
Bow-winged grasshopper,Chorthippus biguttulus
Brown Hawker,Aeshna grandis
Pedunculate Oak,Quercus robur
Hogweed,Heracleum sphondylium
Red Clover,Trifolium pratense
Cleavers,Galium aparine
Eurasian Golden Oriole,Oriolus oriolus
Sardinian Warbler,Sylvia melanocephala
Greater Flamingo,Phoenicopterus roseus
Common Chickweed,Stellaria media
Harbour Porpoise,Phocoena phocoena
Northern Raven,Corvus corax
Creeping Buttercup,Ranunculus repens
Broad Scarlet,Crocothemis erythraea
Willow Beauty,Peribatodes rhomboidaria
White Clover,Trifolium repens
Queen of Spain Fritillary,Issoria lathonia
Shepherd's-purse,Capsella bursa-pastoris
Cock's-foot,Dactylis glomerata
Red Dead-nettle,Lamium purpureum
Common Daisy,Bellis perennis
Lesser Celandine,Ficaria verna
Broad-leaved Dock,Rumex obtusifolius
Cuckooflower,Cardamine pratensis
Smooth Newt,Lissotriton vulgaris
Common Winter Damsel,Sympecma fusca
Sedge Warbler,Acrocephalus schoenobaenus
European Bee-eater,Merops apiaster
Speckled Bush-cricket,Leptophyes punctatissima
Common Whitethroat,Sylvia communis
Long-tailed Duck,Clangula hyemalis
Dunlin,Calidris alpina
Spear Thistle,Cirsium vulgare
Common Firecrest,Regulus ignicapilla
Black Kite,Milvus migrans
Common Reed,Phragmites australis
Rook,Corvus frugilegus
Common Greenshank,Tringa nebularia
Common Spreadwing,Lestes sponsa
Bohemian Waxwing,Bombycilla garrulus
Eurasian Rock Pipit,Anthus petrosus
Common Scoter,Melanitta nigra
Black Darter,Sympetrum danae
Water Pipit,Anthus spinoletta
Snow Bunting,Plectrophenax nivalis
Southern Hawker,Aeshna cyanea
Ring Ouzel,Turdus torquatus
Annual Meadow-grass,Poa annua
Elder,Sambucus nigra
Common Sorrel,Rumex acetosa
Yellow Iris,Iris pseudacorus
Spotless Starling,Sturnus unicolor
Zitting Cisticola,Cisticola juncidis
Black-crowned Night Heron,Nycticorax nycticorax
Garlic Mustard,Alliaria petiolata
Tansy,Tanacetum vulgare
Woodchat Shrike,Lanius senator
Lesser Spotted Woodpecker,Dryobates minor
Groundsel,Senecio vulgaris
Great Willowherb,Epilobium hirsutum
Ragged Robin,Silene flos-cuculi
Green Hairstreak,Callophrys rubi
White Dead-nettle,Lamium album
Hairy Bitter-cress,Cardamine hirsuta
Colt's-foot,Tussilago farfara
Meadow Buttercup,Ranunculus acris
Brimstone Moth,Opisthograptis luteolata
Natterjack,Epidalea calamita
Soft-rush,Juncus effusus
Hedge Bindweed,Convolvulus sepium
Scarce Chaser,Libellula fulva
Common Comfrey,Symphytum officinale
Black Stork,Ciconia nigra
Whiskered Tern,Chlidonias hybrida
Short-toed Snake Eagle,Circaetus gallicus
Wood Sandpiper,Tringa glareola
Whinchat,Saxicola rubetra
Red Deer,Cervus elaphus
Wild Boar,Sus scrofa
Broom,Cytisus scoparius
Sanderling,Calidris alba
Grey Seal,Halichoerus grypus
Mugwort,Artemisia vulgaris
Griffon Vulture,Gyps fulvus
Silver-washed Fritillary,Argynnis paphia
Small Redeye,Erythromma viridulum
Heather,Calluna vulgaris
Cat's-ear,Hypochaeris radicata
Narrow-leaved Ragwort,Senecio inaequidens
7-spot Ladybird,Coccinella septempunctata
Great Black-backed Gull,Larus marinus
Caspian Tern,Hydroprogne caspia
Black Swan,Cygnus atratus
European Shag,Phalacrocorax aristotelis
Red-necked Grebe,Podiceps grisegena
Red-breasted Goose,Branta ruficollis
Small Spreadwing,Lestes virens
Purple Hairstreak,Favonius quercus
Short-eared Owl,Asio flammeus
Silver-studded Blue,Plebejus argus
Riband Wave,Idaea aversata
Blue Winged Grasshopper,Oedipoda caerulescens
Perennial Rye-grass,Lolium perenne
Black Alder,Alnus glutinosa
Ground-elder,Aegopodium podagraria
Sheep's Sorrel,Rumex acetosella
Yorkshire-fog,Holcus lanatus
Canadian Fleabane,Erigeron canadensis
Herb-Robert,Geranium robertianum
Great Reed Warbler,Acrocephalus arundinaceus
Green shield bug,Palomena prasina
Prickly Sow-thistle,Sonchus asper
Red Campion,Silene dioica
Feral Pigeon,Columba livia domestica
Western Honey Bee,Apis mellifera
Hawthorn,Crataegus monogyna
Grayling,Hipparchia semele
Rowan,Sorbus aucuparia
Wild Carrot,Daucus carota
Silverweed,Potentilla anserina
Ivy,Hedera helix
Domestic Duck,Anas platyrhynchos forma domestica
Ruby Whiteface,Leucorrhinia rubicunda
Hemp-agrimony,Eupatorium cannabinum
Northern pike,Esox lucius
Cinnabar,Tyria jacobaeae
Mint Moth,Pyrausta aurata
Garden Grass-Veneer,Chrysoteuchia culmella
Common Mouse-ear,Cerastium fontanum subsp. vulgare
Wood Mouse,Apodemus sylvaticus
Grey Plover,Pluvialis squatarola
Small Dusty Wave,Idaea seriata
Squacco Heron,Ardeola ralloides
Eurasian Badger,Meles meles
Red-veined Darter,Sympetrum fonscolombii
Common Ragwort,Jacobaea vulgaris
Common Loon,Gavia immer
Red-necked Phalarope,Phalaropus lobatus
Eurasian Whimbrel,Numenius phaeopus
European Golden Plover,Pluvialis apricaria
Bar-headed Goose,Anser indicus
Yellow Shell,Camptogramma bilineata
Humming-bird Hawk Moth,Macroglossum stellatarum
Tawny Owl,Strix aluco
Knotgrass,Polygonum aviculare
Greater Plantain,Plantago major subsp. major
Gipsywort,Lycopus europaeus
Selfheal,Prunella vulgaris
Dove's-foot Crane's-bill,Geranium molle
Brown Knapweed,Centaurea jacea
Setaceous Hebrew Character,Xestia c-nigrum
Wood Anemone,Anemone nemorosa
Field Horsetail,Equisetum arvense
Barred grass snake,Natrix helvetica
Water Mint,Mentha aquatica
Holly,Ilex aquifolium
Double-striped Pug,Gymnoscelis rufifasciata
Danish Scurvygrass,Cochlearia danica
Fallow Deer,Dama dama
Caspian Gull,Larus cachinnans
Common Murre,Uria aalge
Perforate St John's-wort,Hypericum perforatum
Large Yellow Underwing,Noctua pronuba
Common Toadflax,Linaria vulgaris
Small Red Damselfly,Ceriagrion tenellum
Diamond-back Moth,Plutella xylostella
Purple Loosestrife,Lythrum salicaria
Roesel's Bush-cricket,Roeseliana roeselii
Pale-bellied Brent Goose,Branta bernicla hrota
Large Marsh Grasshopper,Stethophyma grossum
Oxeye Daisy,Leucanthemum vulgare
European Beech,Fagus sylvatica
Sweet Vernal-grass,Anthoxanthum odoratum
Greater Celandine,Chelidonium majus
Red-rumped Swallow,Cecropis daurica
Booted Eagle,Hieraaetus pennatus
Kentish Plover,Charadrius alexandrinus
Lesser Trefoil,Trifolium dubium
Drone Fly,Eristalis tenax
Eurasian Dotterel,Charadrius morinellus
Hedge Mustard,Sisymbrium officinale
Light Emerald,Campaea margaritaria
Flame Shoulder,Ochropleura plecta
Wall Speedwell,Veronica arvensis
Heart and Dart,Agrotis exclamationis
Tufted Vetch,Vicia cracca
Biting Stonecrop,Sedum acre
Common Hazel,Corylus avellana
Rum Cherry,Prunus serotina
Common Carder Bee,Bombus pascuorum
False Mayweed (maritimum),Tripleurospermum maritimum
Marmalade hoverfly,Episyrphus balteatus
Cross-leaved Heath,Erica tetralix
Buck's-horn Plantain,Plantago coronopus
Common Field-speedwell,Veronica persica
Smooth Sow-thistle,Sonchus oleraceus
Greater Yellow-rattle,Rhinanthus angustifolius
Curled Dock,Rumex crispus
Solomon's-seal,Polygonatum multiflorum
Black Medick,Medicago lupulina
Hart's-tongue Fern,Asplenium scolopendrium
Beautiful Demoiselle,Calopteryx virgo
Marsh Thistle,Cirsium palustre
Male-fern,Dryopteris filix-mas
Meadowsweet,Filipendula ulmaria
Small China-mark,Cataclysta lemnata
Straw Dot,Rivula sericealis
Common Fleabane,Pulicaria dysenterica
Sooty Copper,Lycaena tityrus
Common Valerian,Valeriana officinalis
Common Tree Frog,Hyla arborea
Northern Goshawk,Accipiter gentilis
Slow Worm,Anguis fragilis
Sticky Mouse-ear,Cerastium glomeratum
Foxglove,Digitalis purpurea
Tormentil,Potentilla erecta
Common Wall Lizard,Podarcis muralis
Hedge-bedstraw,Galium mollugo
White Ermine,Spilosoma lubricipeda
European Turtle Dove,Streptopelia turtur
Wall-rue,Asplenium ruta-muraria
Wood Avens,Geum urbanum
False Oat-grass,Arrhenatherum elatius
Small Engrailed,Ectropis crepuscularia
Bulrush,Typha latifolia
Angle Shades,Phlogophora meticulosa
Lamb's Quarters,Chenopodium album
Pineapple Weed,Matricaria discoidea
Tundra Bean Goose,Anser serrirostris
Dark Bush-cricket,Pholidoptera griseoaptera
Teasel,Dipsacus fullonum
Nipplewort,Lapsana communis
Beech Marten,Martes foina
Broad-leaved Helleborine,Epipactis helleborine
Amphibious Bistort,Persicaria amphibia
Bittersweet,Solanum dulcamara
European Honey Buzzard,Pernis apivorus
Coal Tit,Periparus ater
Ferruginous Duck,Aythya nyroca
Northern Viper,Vipera berus
Blood-vein,Timandra comae
Honeysuckle,Lonicera periclymenum
Common Whitlowgrass,Draba verna
Smooth Hawk's-beard,Crepis capillaris
Clouded Border,Lomaspilis marginata
Eurasian Wryneck,Jynx torquilla
Rosebay Willowherb,Chamaenerion angustifolium
Small Magpie,Anania hortulata
Moor Frog,Rana arvalis
Common orange lichen,Xanthoria parietina
Roach,Rutilus rutilus
Yellow Loosestrife,Lysimachia vulgaris
Spotted Crake,Porzana porzana
Mottled Grasshopper,Myrmeleotettix maculatus
Glaucous Gull,Larus hyperboreus
European perch,Perca fluviatilis
Velvet Scoter,Melanitta fusca
Northern Gannet,Morus bassanus
Iceland Gull,Larus glaucoides
Spotted Redshank,Tringa erythropus
White Admiral,Limenitis camilla
Common Green Grasshopper,Omocestus viridulus
Black Brant,Branta bernicla nigricans
Fly agaric,Amanita muscaria
Horned Lark,Eremophila alpestris
Short-winged Cone-head,Conocephalus dorsalis
Wasp Spider,Argiope bruennichi
Marsh Gentian,Gentiana pneumonanthe
Wild Angelica,Angelica sylvestris
Cirl Bunting,Emberiza cirlus
Curlew Sandpiper,Calidris ferruginea
Hare's-foot Clover,Trifolium arvense
Icterine Warbler,Hippolais icterina
Harlequin ladybird,Harmonia axyridis
Sloe bug,Dolycoris baccarum
Field Cricket,Gryllus campestris
Garden Star-of-Bethlehem,Ornithogalum umbellatum
Red Fescue,Festuca rubra
Hornet,Vespa crabro
Purple Moor-grass,Molinia caerulea
Common Figwort,Scrophularia nodosa
Common Rosefinch,Carpodacus erythrinus
Procumbent Pearlwort,Sagina procumbens
Oblong-leaved Sundew,Drosera intermedia
Scots Pine,Pinus sylvestris
Prickly Lettuce,Lactuca serriola
Wild Camomile,Matricaria chamomilla
Germander Speedwell,Veronica chamaedrys
Lady's Bedstraw,Galium verum
Cut-leaved Crane's-bill,Geranium dissectum
Field Forget-me-not,Myosotis arvensis
Wild Marjoram,Origanum vulgare
Mouse-ear Hawkweed,Pilosella officinarum
Common Bird's-foot-trefoil,Lotus corniculatus
Sycamore,Acer pseudoplatanus
Blackthorn,Prunus spinosa
Lords-and-Ladies,Arum maculatum
Ash,Fraxinus excelsior
Hop,Humulus lupulus
Ivy-leaved Speedwell,Veronica hederifolia
Yellow-spotted Whiteface,Leucorrhinia pectoralis
Creeping Cinquefoil,Potentilla reptans
Common Rat,Rattus norvegicus
Field Bindweed,Convolvulus arvensis
European Roller,Coracias garrulus
14-spot Ladybird,Propylea quatuordecimpunctata
Lesser Spearwort,Ranunculus flammula
Common Stork's-bill,Erodium cicutarium
Alder Buckthorn,Frangula alnus
Small Bluetail,Ischnura pumilio
Field Eryngo,Eryngium campestre
Snow Goose,Anser caerulescens
Common bream,Abramis brama
Celery-leaved Buttercup,Ranunculus sceleratus
Shuttle-shaped Dart,Agrotis puta
Field Wood-rush,Luzula campestris
Ivy-leaved Toadflax,Cymbalaria muralis
Soft-brome,Bromus hordeaceus
Common Wave,Cabera exanthemata
Black Tern,Chlidonias niger
Little Stint,Calidris minuta
Little Bittern,Ixobrychus minutus
White-winged Tern,Chlidonias leucopterus
Western Barn Owl,Tyto alba
Snout,Hypena proboscidalis
Spanish Sparrow,Passer hispaniolensis
Viper's-bugloss,Echium vulgare
Jersey Cudweed,Gnaphalium luteoalbum
Greater Bird's-foot-trefoil,Lotus pedunculatus
Water-plantain,Alisma plantago-aquatica
Greater Stitchwort,Stellaria holostea
Black Guillemot,Cepphus grylle
Red Knot,Calidris canutus
Mandarin Duck,Aix galericulata
Flowering-rush,Butomus umbellatus
Climbing Corydalis,Ceratocapnos claviculata
Wild Onion,Allium vineale
Giant Hogweed,Heracleum mantegazzianum
Black-throated Diver,Gavia arctica
Garden Carpet,Xanthorhoe fluctuata
Field Pansy,Viola arvensis
Harebell,Campanula rotundifolia
Thale Cress,Arabidopsis thaliana
Pyramidal Orchid,Anacamptis pyramidalis
Dewberry,Rubus caesius
Marsh-bedstraw,Galium palustre
Perennial Sowthistle,Sonchus arvensis
Creeping Bent,Agrostis stolonifera
Six-spot Burnet,Zygaena filipendulae
Marbled White,Melanargia galathea
Small-flowered Crane's-bill,Geranium pusillum
Indian Balsam,Impatiens glandulifera
Butterbur,Petasites hybridus
Japanese Knotweed,Fallopia japonica
Broad Buckler-fern,Dryopteris dilatata
Water-soldier,Stratiotes aloides
Sneezewort,Achillea ptarmica
Gull-billed Tern,Gelochelidon nilotica
Grass-of-Parnassus,Parnassia palustris
Red-legged Partridge,Alectoris rufa
Marsh Woundwort,Stachys palustris
Bilberry,Vaccinium myrtillus
Brown China-Mark,Elophila nymphaeata
Common Hemp-nettle,Galeopsis tetrahit
Pallid Harrier,Circus macrourus
Montagu's Harrier,Circus pygargus
Marsh-marigold,Caltha palustris
Merlin,Falco columbarius
Winter Moth,Operophtera brumata
Bar-tailed Godwit,Limosa lapponica
Lesser Whitethroat,Sylvia curruca
Silver Birch,Betula pendula
Mottled Umber,Erannis defoliaria
Sheep's-bit,Jasione montana
Western Polecat,Mustela putorius
Reed Canary-grass,Phalaris arundinacea
Silver-spotted Skipper,Hesperia comma
Alpine Newt,Ichthyosaura alpestris
Common Snowdrop,Galanthus nivalis
Lesser White-fronted Goose,Anser erythropus
Redshank,Persicaria maculosa
Cockspur,Echinochloa crus-galli
Marsh Sandpiper,Tringa stagnatilis
Niobe Fritillary,Fabriciana niobe
Black-winged Kite,Elanus caeruleus
Shaggy Soldier,Galinsoga quadriradiata
Bufflehead,Bucephala albeola
Red Phalarope,Phalaropus fulicarius
Lesser Marsh Grasshopper,Chorthippus albomarginatus
Mother of Pearl,Pleuroptya ruralis
Long-winged Cone-head,Conocephalus fuscus
Marsh Tit,Poecile palustris
Barren Brome,Anisantha sterilis
Field Mouse-ear,Cerastium arvense
Field Maple,Acer campestre
Round-leaved Sundew,Drosera rotundifolia
Red-legged Shieldbug,Pentatoma rufipes
Little Tern,Sternula albifrons
Slender-billed Gull,Chroicocephalus genei
Lesser Stitchwort,Stellaria graminea
Fox-and-cubs,Pilosella aurantiaca
Corn Spurrey,Spergula arvensis
Black Nightshade,Solanum nigrum subsp. nigrum
Red Oak,Quercus rubra
Dingy Skipper,Erynnis tages
Marsh Clubmoss,Lycopodiella inundata
Common Cottongrass,Eriophorum angustifolium
Corn Poppy,Papaver rhoeas
White Bryony,Bryonia dioica
Charlock,Sinapis arvensis
Spindle,Euonymus europaeus
Field Scabious,Knautia arvensis
Dogwood,Cornus sanguinea
Bugle,Ajuga reptans
Thyme-leaved Speedwell,Veronica serpyllifolia
Marsh Pennywort,Hydrocotyle vulgaris
Marsh Helleborine,Epipactis palustris
Common Quail,Coturnix coturnix
Hairy Sedge,Carex hirta
Marsh Lousewort,Pedicularis palustris
Hairy Tare,Vicia hirsuta
Pale Tussock,Calliteara pudibunda
Yellow-flowered Strawberry,Potentilla indica
Blue-eye,Erythromma lindenii
Striped shield bug,Graphosoma italicum
Black Grouse,Lyrurus tetrix
Poplar Hawk-moth,Laothoe populi
Wall Barley,Hordeum murinum
Common Twayblade,Neottia ovata
Flame,Axylia putris
Long-legged Buzzard,Buteo rufinus
Eurasian Penduline Tit,Remiz pendulinus
Small Whiteface,Leucorrhinia dubia
Welted Thistle,Carduus crispus
Common Carpet,Epirrhoe alternata
Bright-line Brown-eye,Lacanobia oleracea
Meadow Vetchling,Lathyrus pratensis
Bird's-foot,Ornithopus perpusillus
Oak Processionary,Thaumetopoea processionea
Chequered Skipper,Carterocephalus palaemon
Mottled Shieldbug,Rhaphigaster nebulosa
Dun-bar,Cosmia trapezina
Tall Fescue,Schedonorus arundinaceus
Eurasian Otter,Lutra lutra
Rough Meadow-grass,Poa trivialis
Couch-grass,Elymus repens
Water Violet,Hottonia palustris
Maidenhair Spleenwort,Asplenium trichomanes
Western Swamphen,Porphyrio porphyrio
Great Bustard,Otis tarda
Tall Fleabane,Erigeron annuus
Broad-leaved Helleborine,Epipactis helleborine subsp. helleborine
Buff-tip,Phalera bucephala
Ramsons,Allium ursinum
Blue Rock Thrush,Monticola solitarius
Petty Spurge,Euphorbia peplus
Devil's-bit Scabious,Succisa pratensis
Bog-myrtle,Myrica gale
Royal Fern,Osmunda regalis
Small Quaker,Orthosia cruda
Spotted Nutcracker,Nucifraga caryocatactes
Red Crossbill,Loxia curvirostra
Hedge Woundwort,Stachys sylvatica
Scarce Swallowtail,Iphiclides podalirius
Great White Pelican,Pelecanus onocrotalus
Burnished Brass,Diachrysia chrysitis
May Lily,Maianthemum bifolium
Small Pearl-bordered Fritillary,Boloria selene
Skullcap,Scutellaria galericulata
Wall Lettuce,Mycelis muralis
Bracken,Pteridium aquilinum
Juniper,Juniperus communis
Yellow Water-lily,Nuphar lutea
Meadow Foxtail,Alopecurus pratensis
Savi's Warbler,Locustella luscinioides
Early Goldenrod,Solidago gigantea
Toad Rush,Juncus bufonius
Elephant Hawk-moth,Deilephila elpenor
Eurasian Crag Martin,Ptyonoprogne rupestris
Lesser Kestrel,Falco naumanni
Petty Whin,Genista anglica
Eurasian Eagle-Owl,Bubo bubo
Wood-sorrel,Oxalis acetosella
Rigid Eyebright s.l.,Euphrasia stricta s.l.
Slender Rush,Juncus tenuis
Southern Marsh-orchid,Dactylorhiza praetermissa
Gray-green disc lichen,Lecidella elaeochroma
Little Mouse-ear,Cerastium semidecandrum
Tawny Pipit,Anthus campestris
Eurasian Stone-curlew,Burhinus oedicnemus
Marsh Cudweed,Gnaphalium uliginosum
Chicory,Cichorium intybus
Common Burdock,Arctium minus
Bee Orchid,Ophrys apifera
Black-legged Kittiwake,Rissa tridactyla
Agrimony,Agrimonia eupatoria
Common Quaker,Orthosia cerasi
Iberian Magpie,Cyanopica cooki
Marbled White Spot,Deltote pygarga
Little Gull,Hydrocoloeus minutus
Springbeauty,Claytonia perfoliata
Red-footed Falcon,Falco vespertinus
Box bug,Gonocerus acuteangulatus
Autumn Hawkbit,Scorzoneroides autumnalis
Peppered Moth,Biston betularia
Horned Grebe,Podiceps auritus
Satellite,Eupsilia transversa
Common Mallow,Malva sylvestris
Dark Green Fritillary,Speyeria aglaja
Wavy Bitter-cress,Cardamine flexuosa
Three-spined stickleback,Gasterosteus aculeatus
Tenspined stickleback,Pungitius pungitius
Clouded Drab,Orthosia incerta
Hebrew Character,Orthosia gothica
Laughing Dove,Spilopelia senegalensis
Keeled Skimmer,Orthetrum coerulescens
Marsh Marigold,Caltha palustris subsp. palustris
Sea Rocket,Cakile maritima
Sweet Violet,Viola odorata
Candlesnuff fungus,Xylaria hypoxylon
Pectoral Sandpiper,Calidris melanotos
Western conifer seed bug (WCSB),Leptoglossus occidentalis
Large Golden Grasshopper,Chrysochraon dispar
Firebug,Pyrrhocoris apterus
Ruby Tiger,Phragmatobia fuliginosa
Chestnut,Conistra vaccinii
