Var1,Freq
Green-eyed Hawker,37975
Wall Brown,37664
Clouded Yellow,37562
Purple Heron,37408
Ruddy Shelduck,36966
Sandwich Tern,36292
Bearded Reedling,35307
Harbour Seal,34770
Common Dandelion,34692
Common Nightingale,34146
Swallowtail,34074
Brambling,33448
Moustached Darter,32569
Yellow-legged Gull,32339
Purple Sandpiper,32333
Rough-legged Buzzard,32088
Common Nettle,31682
Eurasian Hoopoe,31396
Meadow grasshopper,31210
Green Frog spec.,31199
Common Sandpiper,31161
European Serin,31143
Variable Bluet,30728
Ribwort Plantain,30254
Ringlet,29958
Middle Spotted Woodpecker,29841
Corn Bunting,29835
Redwing,29760
Large Redeye,29657
Cow Parsley,29620
Long-eared Owl,29437
Blue Featherleg,29414
Crested Lark,29218
Yarrow,28962
European Pied Flycatcher,28953
Ground-ivy,28891
Bow-winged grasshopper,28445
Common Tern,28403
Brown Argus,28291
Sand Lizard,28277
Red Kite,28269
Red-throated Diver,28030
Eurasian Bittern,28012
Domesticated Goose,27966
Downy Emerald,27664
Whooper Swan,27620
Western Yellow Wagtail,27158
Spotted Flycatcher,27035
Common Lizard,26847
Hooded Crow,26821
Glossy Ibis,26673
Ruff,26590
Brown Hawker,26495
Creeping Thistle,26350
Hairy Hawker,26279
Yellow-browed Warbler,26206
Field Grasshopper,25922
Eurasian Beaver,25710
Rook,25566
Common Greenshank,25494
Northern Raven,25333
Common Daisy,25267
Sedge Warbler,25135
Pedunculate Oak,24857
Southern Hawker,24792
Common Winter Damsel,24683
Greater Flamingo,24633
Common Spreadwing,24614
Dunlin,24569
Bohemian Waxwing,24313
Common Reed,24288
Common Firecrest,24240
European Bee-eater,23933
Red Clover,23450
Black Darter,23214
Smooth Newt,23105
Ring Ouzel,23069
Queen of Spain Fritillary,22923
Common Scoter,22896
Common Chickweed,22738
Broad-leaved Dock,22736
Eurasian Golden Oriole,22627
Spear Thistle,22392
Eurasian Rock Pipit,22259
White Clover,21963
Speckled Bush-cricket,21956
Lesser Celandine,21928
Cuckooflower,21802
Red Dead-nettle,21791
Common Whitethroat,21614
Creeping Buttercup,21585
Snow Bunting,21235
Broad Scarlet,21182
Sardinian Warbler,21176
Cleavers,21061
Long-tailed Duck,21020
Black Kite,20863
Willow Beauty,20652
Cock's-foot,20596
Shepherd's-purse,20509
Hogweed,20487
Water Pipit,20442
Harbour Porpoise,20191
Griffon Vulture,20125
Red-breasted Goose,20076
Purple Hairstreak,20067
Tansy,20004
Black Swan,19950
Black Stork,19921
European Shag,19790
Zitting Cisticola,19587
Annual Meadow-grass,19559
Grey Seal,19446
Mugwort,19332
Colt's-foot,19236
Sanderling,19151
Elder,19137
Meadow Buttercup,19090
Broom,19056
Caspian Tern,18862
Greater Plantain,18848
Small Spreadwing,18827
White Dead-nettle,18750
Blue Winged Grasshopper,18730
Spotless Starling,18709
Red-necked Grebe,18642
Whiskered Tern,18538
Silver-washed Fritillary,18493
Scarce Chaser,18393
Groundsel,18245
Red Deer,18210
Heather,18196
Green Hairstreak,18190
Broad-leaved Helleborine,18109
Brimstone Moth,17965
Black-crowned Night Heron,17930
Great Willowherb,17628
Lesser Spotted Woodpecker,17560
Whinchat,17559
Cat's-ear,17524
Ragged Robin,17489
Common Mouse-ear,17352
Hairy Bitter-cress,17219
Silver-studded Blue,17207
Short-toed Snake Eagle,17120
Natterjack,17052
Hedge Bindweed,16962
Soft-rush,16908
Short-eared Owl,16868
Woodchat Shrike,16845
Yellow Iris,16824
Wood Sandpiper,16808
Small Redeye,16773
Common Sorrel,16727
Common Comfrey,16726
Riband Wave,16696
Wild Boar,16681
7-spot Ladybird,16612
Narrow-leaved Ragwort,16593
Garlic Mustard,16437
Great Black-backed Gull,16427
Grayling,16345
Common Ragwort,16335
Herb-Robert,16233
Yellow Shell,16210
Green shield bug,16150
Red Campion,16145
Field Horsetail,16140
Feral Pigeon,16114
Eurasian Badger,16061
Large Yellow Underwing,16042
Roesel's Bush-cricket,16007
Cinnabar,15973
Knotgrass,15923
Brown Knapweed,15904
Ruby Whiteface,15842
Danish Scurvygrass,15770
Caspian Gull,15667
Tawny Owl,15667
Double-striped Pug,15610
Red-veined Darter,15529
Barred grass snake,15519
Red-necked Phalarope,15514
Ground-elder,15278
Canadian Fleabane,15260
Purple Loosestrife,15233
Silverweed,15215
Hemp-agrimony,15200
Yorkshire-fog,15195
Common Loon,15165
Black Alder,15075
Rowan,15070
Small Red Damselfly,14992
Wood Mouse,14991
Gipsywort,14964
Wood Anemone,14947
Diamond-back Moth,14885
Common Toadflax,14847
Hawthorn,14800
Holly,14754
Pale-bellied Brent Goose,14724
Northern pike,14692
Squacco Heron,14681
Great Reed Warbler,14567
Eurasian Whimbrel,14562
Wild Carrot,14533
Common Murre,14527
Sheep's Sorrel,14486
Dove's-foot Crane's-bill,14459
Humming-bird Hawk Moth,14413
Selfheal,14402
Fallow Deer,14336
Ivy,14303
Bar-headed Goose,14268
Large Marsh Grasshopper,14219
Small Dusty Wave,14092
Garden Grass-Veneer,14040
Perforate St John's-wort,13851
Water Mint,13841
Setaceous Hebrew Character,13690
Perennial Rye-grass,13669
Grey Plover,13663
Western Honey Bee,13594
Mint Moth,13586
Prickly Sow-thistle,13580
European Golden Plover,13420
Domestic Duck,13397
Lamb's Quarters,13389
Small Engrailed,13360
Short-winged Cone-head,13333
Smooth Sow-thistle,13281
Hedge Mustard,13269
Honeysuckle,13188
Slow Worm,13154
Clouded Border,13128
Yellow Loosestrife,13102
White Admiral,13024
Eurasian Wryneck,12973
Wall-rue,12933
Wall Speedwell,12885
Greater Celandine,12854
Wood Avens,12825
Common Valerian,12804
Smooth Hawk's-beard,12752
Heart and Dart,12582
Common Tree Frog,12563
Common Hazel,12548
Meadowsweet,12441
Spotted Redshank,12426
Marsh Gentian,12405
Oxeye Daisy,12380
Nipplewort,12349
Tufted Vetch,12281
Male-fern,12225
Ferruginous Duck,12196
Drone Fly,12135
Northern Gannet,12101
Rum Cherry,12059
Horned Lark,12057
Common Wall Lizard,12046
Velvet Scoter,12034
Black Medick,11944
Bittersweet,11934
Sooty Copper,11925
Moor Frog,11923
Small Magpie,11915
Black Brant,11881
Mottled Grasshopper,11821
Biting Stonecrop,11818
Marmalade hoverfly,11801
Iceland Gull,11799
Kentish Plover,11753
Glaucous Gull,11707
Dark Bush-cricket,11693
False Mayweed (maritimum),11680
Curled Dock,11679
European Turtle Dove,11627
Beautiful Demoiselle,11532
Northern Goshawk,11531
Bulrush,11515
Lesser Trefoil,11515
Common Field-speedwell,11492
European Beech,11477
Marsh Thistle,11466
Solomon's-seal,11438
Eurasian Dotterel,11358
Common Fleabane,11283
Common orange lichen,11269
Amphibious Bistort,11249
Angle Shades,11218
Greater Yellow-rattle,11166
Spotted Crake,11097
Common Carder Bee,11080
Sticky Mouse-ear,11055
Small China-mark,10979
Hedge-bedstraw,10913
European Honey Buzzard,10901
Straw Dot,10851
Hart's-tongue Fern,10840
Pineapple Weed,10823
Common Whitlowgrass,10822
Roach,10730
Coal Tit,10719
Buck's-horn Plantain,10698
Foxglove,10683
European perch,10664
Rosebay Willowherb,10656
Blood-vein,10655
Northern Viper,10637
Beech Marten,10592
Teasel,10589
Wasp Spider,10587
Light Emerald,10559
Flame Shoulder,10551
Booted Eagle,10544
Cross-leaved Heath,10508
Fly agaric,10431
Tormentil,10400
Tundra Bean Goose,10310
Red-rumped Swallow,10304
False Oat-grass,10273
Common Green Grasshopper,10272
Sweet Vernal-grass,10259
White Ermine,10252
Marbled White,10246
Lesser White-fronted Goose,10231
Wild Camomile,10220
Cirl Bunting,10213
Field Wood-rush,10191
Oblong-leaved Sundew,10189
Broad Buckler-fern,10171
Common Hemp-nettle,10170
Lesser Marsh Grasshopper,10112
Sycamore,10094
Montagu's Harrier,10083
Black-throated Diver,10060
Ash,10011
Shuttle-shaped Dart,9995
Curlew Sandpiper,9975
Bar-tailed Godwit,9958
Giant Hogweed,9943
Silver Birch,9943
Common Rat,9923
Little Stint,9917
Bilberry,9877
Common Bird's-foot-trefoil,9840
Black Guillemot,9792
Marsh Woundwort,9777
Little Bittern,9693
Western Barn Owl,9661
Ivy-leaved Speedwell,9630
Thale Cress,9621
Six-spot Burnet,9585
Niobe Fritillary,9563
Black Tern,9503
Garden Carpet,9491
Climbing Corydalis,9444
Procumbent Pearlwort,9443
Purple Moor-grass,9435
Western Polecat,9435
Mottled Umber,9404
Blackthorn,9401
Field Cricket,9394
Black Nightshade,9383
Hop,9356
Lady's Bedstraw,9350
Gull-billed Tern,9305
Mouse-ear Hawkweed,9285
Mother of Pearl,9276
Celery-leaved Buttercup,9265
Spanish Sparrow,9265
Common bream,9220
Winter Moth,9213
Red Fescue,9181
Field Eryngo,9157
Creeping Cinquefoil,9151
Garden Star-of-Bethlehem,9146
White-winged Tern,9146
Harlequin ladybird,9123
Snout,9063
Soft-brome,9063
Field Pansy,9009
Grass-of-Parnassus,9000
Greater Bird's-foot-trefoil,8977
Scots Pine,8963
Icterine Warbler,8954
Greater Stitchwort,8934
Ivy-leaved Toadflax,8931
Bufflehead,8914
Mandarin Duck,8845
Common Figwort,8836
Brown China-Mark,8833
Field Bindweed,8802
Japanese Knotweed,8792
Small Bluetail,8773
Pyramidal Orchid,8752
Germander Speedwell,8715
Common Rosefinch,8668
Red-legged Partridge,8604
Water-soldier,8601
Wild Onion,8601
Water-plantain,8582
Jersey Cudweed,8547
Silver-spotted Skipper,8532
Black-winged Kite,8494
Merlin,8461
Common Snowdrop,8446
Common Wave,8444
Alder Buckthorn,8431
Snow Goose,8428
Prickly Lettuce,8419
14-spot Ladybird,8406
Redshank,8401
Red Knot,8371
Hare's-foot Clover,8358
Wild Angelica,8333
Marsh-bedstraw,8315
Wild Marjoram,8302
Field Forget-me-not,8275
Common Stork's-bill,8266
Harebell,8258
Red Phalarope,8237
Flowering-rush,8227
Lesser Whitethroat,8214
Sheep's-bit,8194
Marsh-marigold,8191
Shaggy Soldier,8191
Butterbur,8152
Lesser Spearwort,8133
Sloe bug,8121
Dewberry,8104
Sneezewort,8084
Lords-and-Ladies,8064
Viper's-bugloss,8020
Reed Canary-grass,7991
Long-winged Cone-head,7960
Perennial Sowthistle,7943
Cockspur,7935
Creeping Bent,7933
Hornet,7929
Yellow-spotted Whiteface,7921
Small-flowered Crane's-bill,7907
Cut-leaved Crane's-bill,7898
Indian Balsam,7897
European Roller,7859
Common Vetch,7842
Marsh Sandpiper,7842
Alpine Newt,7841
Pallid Harrier,7828
Eurasian Crag Martin,7827
Bracken,7812
Rigid Eyebright s.l.,7798
Corn Poppy,7789
Meadow Foxtail,7767
Couch-grass,7766
Wood cricket,7677
Agrimony,7671
Banded Darter,7655
Pectoral Sandpiper,7643
Red-footed Falcon,7634
Bright-line Brown-eye,7625
Meadow Vetchling,7578
Satellite,7571
Common Quail,7520
Juniper,7520
Southern Marsh-orchid,7515
Large Golden Grasshopper,7504
Marsh Marigold,7469
Marsh Cudweed,7441
Blue-eye,7439
Little Gull,7409
Common Quaker,7397
Eurasian Eagle-Owl,7360
Welted Thistle,7336
Marsh Helleborine,7289
Barren Brome,7259
Early Goldenrod,7259
Chicory,7258
Hairy Sedge,7249
Elephant Hawk-moth,7239
Horned Grebe,7234
Tawny Pipit,7228
Tall Fleabane,7227
Mottled Shieldbug,7220
Red Crossbill,7192
Ramsons,7160
Eurasian Penduline Tit,7156
Eurasian Stone-curlew,7130
Common Cottongrass,7106
Little Tern,7101
Springbeauty,7093
Common Burdock,7082
Hedge Woundwort,7066
Marsh Clubmoss,7058
Iberian Magpie,7048
Slender Rush,7045
Marbled White Spot,7039
Lesser Kestrel,7033
Western Swamphen,7028
Southern Oak Bush-cricket,7012
Bee Orchid,6998
Wavy Bitter-cress,6996
Marsh Pennywort,6974
Small Pearl-bordered Fritillary,6972
Laughing Dove,6971
Common Twayblade,6968
Bird's-foot,6967
Keeled Skimmer,6943
Tall Fescue,6908
Ruby Tiger,6897
Thyme-leaved Speedwell,6895
Marsh Tit,6892
Dark Arches,6871
Field Mouse-ear,6860
Scarlet Pimpernel,6851
Black-legged Kittiwake,6845
Scarce Swallowtail,6841
Toad Rush,6838
Wood-sorrel,6819
Autumn Hawkbit,6808
Sweet Violet,6787
Burnished Brass,6783
Bugle,6765
Common Carpet,6765
Tenspined stickleback,6763
Dingy Skipper,6760
Black Grouse,6751
Common Mallow,6747
Marsh Lousewort,6740
Royal Fern,6737
Chequered Skipper,6725
Dogwood,6724
Jack Snipe,6720
Hairy Tare,6702
Lesser Stitchwort,6685
Wild Parsnip,6681
Buff-tip,6678
Great White Pelican,6675
Sickle-bearing Bush-cricket,6665
Yellow-flowered Strawberry,6652
Small Quaker,6634
Chestnut,6630
Hebrew Character,6625
Round-leaved Sundew,6622
Firebug,6604
Dark Green Fritillary,6602
Red-legged Shieldbug,6602
Sea Rocket,6593
Great Bustard,6585
Yellow Water-lily,6582
Candlesnuff fungus,6576
Petty Spurge,6574
Wall Lettuce,6564
Corn Spurrey,6562
Charlock,6531
Blue Rock Thrush,6524
Savi's Warbler,6523
Field Maple,6520
Fox-and-cubs,6519
Flame,6490
Single-dotted Wave,6467
Spotted Nutcracker,6467
Poplar Hawk-moth,6448
Skullcap,6445
Rough Meadow-grass,6417
Petty Whin,6386
Three-spined stickleback,6363
Devil's-bit Scabious,6354
Water Violet,6336
Eurasian Otter,6321
May Lily,6312
Clouded Drab,6298
Spindle,6283
Box bug,6280
Dun-bar,6280
Wall Barley,6269
Slender-billed Gull,6266
White Bryony,6261
Gray-green disc lichen,6241
Common Emerald,6232
Peppered Moth,6230
Pale Tussock,6201
Little Mouse-ear,6194
Oak Processionary,6179
Maidenhair Spleenwort,6174
Bog-myrtle,6161
Migrant Spreadwing,6159
Small Whiteface,6146
Western conifer seed bug (WCSB),6146
Long-legged Buzzard,6138
Striped shield bug,6130
Field Scabious,6112
Red Oak,6100
Crested Dog's-tail,6096
Common Heath,6095
Hard-fern,6076
Melodious Warbler,6076
Sea-buckthorn,6072
Marsh Yellow-cress,6064
Rough Chervil,6057
Pale Persicaria,6050
Water Dock,6047
Jointed Rush,6032
Leafy Spurge,6032
Soapwort,6029
Sun Spurge,6027
Annual Nettle,6024
Pill Sedge,6012
Oak Hook-tip,5998
Dog-rose,5992
Black Bindweed,5982
Enchanter's-nightshade,5980
Small Skipper,5976
Bog Bush-cricket,5975
Gypsy Moth,5973
Reed Sweet-grass,5964
Marsh Cinquefoil,5961
Bird Cherry,5960
22 spot ladybird,5953
Twite,5948
Wood Sage,5944
Creeping-Jenny,5922
Greater Scaup,5900
Black-bellied Dipper,5891
Temminck's Stint,5891
White-toothed Shrew,5870
Robust Spreadwing,5855
Spear-leaved Orache,5854
Common Meadow-rue,5853
Juneberry,5851
Small Balsam,5843
Lesser Yellowlegs,5822
Garden Tiger,5821
Sea Aster,5816
Nursery-web Spider,5779
Guelder-rose,5760
Carnation Sedge,5747
Floating Sweet-grass,5746
Audouin's Gull,5679
Common White Wave,5679
Drinker,5670
Common Bent,5655
Water-pepper,5646
Biguttulus-group,5636
Green Oak Tortrix,5629
Branched Bur-Reed,5612
Traveller's-joy,5607
Heath Speedwell,5596
Wavy Hair-grass,5596
Common Vole,5587
Bee Moth,5585
Great Yellow-cress,5556
Lily-of-the-valley,5556
Dark Mullein,5539
Common Centaury,5532
Latticed Heath,5528
Arrowhead,5513
White Stonecrop,5507
Lesser Yellow Underwing,5500
Net-marked Parmelia,5492
Scorched Carpet,5486
Lapland Longspur,5470
Large Red-tailed Bumblebee,5461
Smooth Meadow-grass,5448
Pine ladybird,5443
Cornflower,5437
White Melilot,5433
Buff-tailed/White-tailed Bumblebee s.l.,5432
Bird-in-a-bush,5430
Northern Fulmar,5415
Rosy Starling,5410
Spring Usher,5406
Small Cudweed,5405
Iberian Grey Shrike,5403
Egyptian Vulture,5394
Rudd,5390
Water Horsetail,5375
Thorn-apple,5373
Mistletoe,5359
Lucerne,5348
Brown House Moth,5345
Sea-holly,5344
Common Duckweed,5340
Wild Mignonette,5332
Green Hawker,5330
Pygmy Cormorant,5325
Wood White,5325
Mazarine Blue,5313
Ortolan Bunting,5306
Long-headed Poppy,5305
Pied Wagtail,5304
Thyme-leaved Sandwort,5298
Northern Crested Newt,5288
Longhorn Moth,5286
Oxlip,5277
White-throated Dipper,5268
Pine Marten,5254
Desert Wheatear,5247
Brilliant Emerald,5235
Sharp-flowered Rush,5229
Parasitic Jaeger,5220
Sea Club-rush,5218
Wood Small-reed,5212
Grizzled Skipper,5209
White Willow,5204
Orange Swift,5194
Bristly Oxtongue,5167
Compact Rush,5158
Sea Milkwort,5158
Yellow-tail,5158
Beggarticks,5156
Common Clubtail,5140
Large Fruit-tree Tortrix,5140
Pale Oak Beauty,5138
Spined loach,5119
Garden Snail,5111
Little Bunting,5109
Ringed China-mark,5103
Small-flowered Willowherb,5094
Brown Hairstreak,5093
Raspberry,5091
Common Spike-rush,5077
Lesser Grey Shrike,5061
Peach Blossom,5046
Black-veined White,5045
Pink-footed Goose,5035
Dune Pansy,4994
Red-breasted Flycatcher,4988
Aspen,4984
Spur-winged Lapwing,4978
Little Bustard,4977
Lady-fern,4962
Wild Cherry,4949
Great Skua,4942
Pearly Heath,4925
Bulbous Buttercup,4908
Alcon Blue,4905
Remote Sedge,4904
Common Pipistrelle,4901
Edible Frog,4901
Goat Willow,4901
Turnip,4877
Lesser Emperor,4871
Iron Prominent,4849
Common Cow-wheat,4837
Pine Hawk-moth,4830
Garden Cross Spider,4804
Corn Crake,4793
Sea Wormwood,4793
Tawny-barred Angle,4791
Musk Mallow,4787
Lesser Swine-cress,4786
Procumbent Yellow-sorrel,4786
Tench,4786
Calandra Lark,4779
Western Clubtail,4773
Black-headed Bunting,4765
Small Fan-footed Wave,4763
Cardinal beetle,4761
Creeping Willow,4753
Lesser Hawkbit,4753
Creeping Yellow-cress,4745
Sand Sedge,4743
Broad-leaved Pondweed,4733
Purple Emperor,4733
Fairy Flax,4728
Ichneumonid unknown,4713
Rampion Bellflower,4704
Gallant Soldier,4696
Heath Bedstraw,4694
Perennial Wall-rocket,4680
European Nightjar,4679
Red Currant,4669
False-acacia,4663
Frogbit,4660
Darter spec.,4623
Common Dog-violet,4612
Italian Lords-and-Ladies,4611
Cinereous Vulture,4595
Lesser field grasshopper,4593
Purple-barred Yellow,4592
Hard Rush,4589
Red-billed Chough,4589
Larger banded snail,4575
Slender Parsley-piert,4570
Henbit Dead-nettle,4565
Small Bugloss,4563
Fox Moth,4545
Sea-kale,4535
Sand Spurrey,4526
Brooklime Speedwell,4521
Baillon's Crake,4520
Downy Birch,4515
Pied Kingfisher,4512
Rock Bunting,4511
Marsh Horsetail,4503
Parrot Crossbill,4497
Three-nerved Sandwort,4481
Buff Ermine,4477
Crowberry,4476
Butterfly-bush,4473
Grey Hair-grass,4465
Red Bartsia,4465
Hound's-tongue,4449
Large Tortoiseshell,4408
Herald,4400
Large Chequered Skipper,4396
Common Orache,4395
Variegated Golden Tortrix,4390
Hume's Leaf Warbler,4386
Sea-purslane,4378
Creeping Soft-grass,4376
Sweet Chestnut,4354
Narrow Buckler-fern,4348
Isabelline Wheatear,4347
Common Grasshopper Warbler,4344
Bladder Campion,4340
False Fox-sedge,4330
Orange Footman,4328
Domesticated Cat,4324
Greater Short-toed Lark,4311
Eastern Black-eared Wheatear,4301
Manyseed Goosefoot,4298
Smooth Hawkweed,4295
Square-spot Rustic,4294
Berthelot's Pipit,4275
Broad-billed Sandpiper,4271
Heath Groundsel,4268
Cloaked Minor,4264
Central European Treecreeper,4248
Sea Spurge,4243
Marsh St John's-wort,4230
Jersey Tiger,4216
Little Auk,4212
Wood Club-rush,4204
Alsike Clover,4203
Oak Eggar,4183
Ring-necked Duck,4180
Garden Warbler,4179
Lesser Water-parsnip,4175
Cowslip,4173
Green Carpet,4162
Red-throated Pipit,4159
Rough Hawk's-beard,4157
Common Ground-hopper,4153
Turnip Moth,4147
Mallow Skipper,4145
Wild Strawberry,4135
Burnet Companion,4134
Shepherd's Cress,4132
Grey Bush-cricket,4125
Kidney Vetch,4123
Muscovy Duck,4120
Annual Mercury,4116
Nine-spotted,4114
Marsh Foxtail,4110
Alpine Swift,4103
Annual Sea-blite,4100
Green Alkanet,4096
Common Marsh Orchid,4095
Sharp-angled Peacock,4085
Orange ladybird,4083
Brown rim-lichen,4072
Cyperus Sedge,4071
Vervain,4066
European Hornbeam,4055
Spotted Fritillary,4054
Marbled Orchard Tortrix,4048
Hawkweed Oxtongue,4044
Oval Sedge,4034
Upright Yellow-sorrel,4021
Chestnut Tortrix,4013
Moschatel,4006
Common Myna,4004
Coxcomb Prominent,3997
Honesty,3978
Wood Warbler,3965
Red Goosefoot,3963
Common Muskrat,3961
Great Burnet,3952
Umbellate Hawkweed,3948
Dotted Border,3946
White Water-lily,3931
Knot Grass,3929
Weld,3927
Cowberry,3923
Common Cornsalad,3921
Atlantic Canary,3913
River Warbler,3903
Wild Privet,3899
Red Underwing,3898
White-headed Duck,3898
Richard's Pipit,3887
Chalk hill Blue,3884
Bogbean,3880
Middle-barred Minor,3878
Common Sea-lavender,3872
Noon fly,3872
Willow Tit,3870
Oak Bush Cricket,3865
Green Pug,3864
Carline Thistle,3858
Large Thyme,3857
Rue-leaved Saxifrage,3852
Eurasian Woodcock,3839
Northern Hawk-Owl,3833
Guernsey Fleabane,3825
Iberian Chiffchaff,3824
Gorse,3823
Fringed rosette lichen,3818
Smoother Rupture-wort,3812
Pool Frog,3811
Heath Fritillary,3800
Collared Pratincole,3787
White-point,3782
Salad Burnet,3778
Nodding Thistle,3776
Pellitory-of-the-wall,3776
Spiny Restharrow,3773
Grey Willow s.l.,3769
Little Blue,3768
Water Chickweed,3761
Bird-cherry Ermine,3760
Glanville Fritillary,3751
Swallow-tailed Moth,3750
Buff-breasted Sandpiper,3706
Smooth Snake,3699
Brindled Pug,3691
Maidenâ€™s Blush,3684
Yellow Corydalis,3679
Lesser Periwinkle,3664
Square-stemmed Willowherb,3663
Copper Underwing,3657
Thrift,3657
Woodland Grasshopper,3650
Dotted bush lichen,3648
Common Waxbill,3643
Spotted Sandpiper,3643
Green-winged Teal,3640
Nuttall's Waterweed,3634
Heath Wood-rush,3633
Spotted Darter,3631
Bush Vetch,3629
Strawberry Clover,3625
Goat's-beard,3620
Barred Warbler,3619
Nut-tree Tussock,3609
Silver Barred,3606
Crescent Bluet,3605
Yellow-rattle,3593
Twenty-plume Moth,3589
Pallid Swift,3586
Least Carpet,3578
Marsh Violet,3574
Early Bumblebee,3569
Arctic Tern,3568
Rat's-tail Fescue,3564
Alder Leaf Beetle,3561
Buff Arches,3557
Southern Skimmer,3550
Broad-bordered Yellow Underwing,3549
Japanese Rose,3539
Nettle-tap,3537
Oakmoss lichen,3533
The Uncertain,3523
Pale Prominent,3513
Escargot,3506
Pallas's Leaf Warbler,3504
European eel,3501
Fringed Water-lily,3499
Birch Shield Bug,3492
Rock Samphire,3486
Common Milkwort,3485
Privet Hawk-moth,3484
Field Penny-cress,3482
Hedgerow Crane's-bill,3481
Milk Parsley,3481
Bank Vole,3479
Meadow Clary,3479
Spotted Dead-nettle,3478
Moorish Gecko,3476
Blue-gray rosette lichen,3475
Razorbill,3463
Early Hair-grass,3461
Common Purslane,3451
Kite-tailed Robberfly,3442
Heath Dog-violet,3438
Coral Necklace,3431
Common Fumitory,3429
Brookweed,3427
Citrine Wagtail,3424
Evening-primrose,3407
Round-leaved Wintergreen,3404
Rosy Footman,3401
Water Forget-me-not,3393
Red-berried Elder,3390
Spotted Medick,3386
Hop Trefoil,3382
Glaucous Sedge,3377
Square-stalked St John's-wort,3377
American Willowherb,3375
Sabine's Gull,3360
Sea Plantain,3357
V-Pug,3350
Feathered Thorn,3348
Early Forget-me-not,3347
Slender Ground-hopper,3336
Red Mason Bee,3330
